"Red Whittaker","Carnegie Mellon University"
"Richard M. Stern","Carnegie Mellon University"
"Robert Kraut","Carnegie Mellon University"
"Robert F. Murphy","Carnegie Mellon University"
"Robert Harper","Carnegie Mellon University"
"Roger B. Dannenberg","Carnegie Mellon University"
"Roni Rosenfeld","Carnegie Mellon University"
"Roy Maxion","Carnegie Mellon University"
"Ryan O'Donnell","Carnegie Mellon University"
"Ryan Tibshirani","Carnegie Mellon University"
"Sara B. Kiesler","Carnegie Mellon University"
"Scott E. Hudson","Carnegie Mellon University"
"Seth Copen Goldstein","Carnegie Mellon University"
"Seyoung Kim","Carnegie Mellon University"
"Simon Lucey","Carnegie Mellon University"
"Sivaraman Balakrishnan","Carnegie Mellon University"
"Srinivasa G. Narasimhan","Carnegie Mellon University"
"Srinivasan Seshan","Carnegie Mellon University"
"Stephen Brookes","Carnegie Mellon University"
"Steven Rudich","Carnegie Mellon University"
"Tai Sing Lee","Carnegie Mellon University"
"Takeo Kanade","Carnegie Mellon University"
"Tianqi Chen","Carnegie Mellon University"
"Todd C. Mowry","Carnegie Mellon University"
"Tom M. Mitchell","Carnegie Mellon University"
"Travis D. Breaux","Carnegie Mellon University"
"Tuomas Sandholm","Carnegie Mellon University"
"Umut A. Acar","Carnegie Mellon University"
"Venkatesan Guruswami","Carnegie Mellon University"
"Vincent Aleven","Carnegie Mellon University"
"Vipul Goyal","Carnegie Mellon University"
"Virginia Smith","Carnegie Mellon University"
"Vyas Sekar","Carnegie Mellon University"
"William W. Cohen","Carnegie Mellon University"
"Yiming Yang","Carnegie Mellon University"
"Yonatan Bisk","Carnegie Mellon University"
"Yong-Lae Park","Carnegie Mellon University"
"Yulia Tsvetkov","Carnegie Mellon University"
"Yuvraj Agarwal","Carnegie Mellon University"
"Ziv Bar-Joseph","Carnegie Mellon University"
