,FullName,University,SubField,Bachelors,Doctorate,Inst. Score,Subf. Score,Score,Empty Count
0,Adam Doupé,Arizona State University,Artificial Intelligence,Arizona State University,"University of California, Santa Barbara",0,2,2,0
1,Andréa W. Richa,Arizona State University,Algorithms & Complexity,American University of Beirut,Carnegie Mellon University,0,32,32,0
2,Arunabha Sen,Arizona State University,Computer Graphics,Jadavpur University,University of South Carolina,0,14,14,0
3,Ashraf Gaffar,Arizona State University,Human-Computer Interaction,TU Dortmund,Concordia University,0,21,21,0
4,Aviral Shrivastava,Arizona State University,Embedded & Real-Time Systems,Indian Institute of Technology Delhi,"University of California, Irvine",0,14,14,0
5,Baoxin Li,Arizona State University,Machine Learning & Data Mining,University of Science and Technology of China,University of Maryland,0,25,25,0
6,Baoxin Lina,Arizona State University,Computer Graphics,Beijing University of Posts and Telecommunications,University of Maryland,0,14,14,0
7,Brian C. Nelson,Arizona State University,Interdisciplinary Areas,Washington State University,Harvard University,0,11,11,0
8,Carole-Jean Wu,Arizona State University,Artificial Intelligence,Cornell University,Princeton University,0,2,2,0
9,Charles J. Colbourn,Arizona State University,Computer Networks,University of Toronto,University of Toronto,0,34,34,0
10,Chitta Baral,Arizona State University,Robotics,Indian Institute of Technology Kharagpur,University of Maryland,0,62,62,0
11,Dijiang Huang,Arizona State University,Computer Networks,Beijing University of Posts and Telecommunications,University of Missouri-Kansas City,0,34,34,0
12,Fengbo Ren,Arizona State University,Comp. Bio & Bioinformatics,Zhejiang University,"University of California, Los Angeles",0,2,2,0
13,Fish Wang,Arizona State University,Computer Security,Arizona State University,"University of California, Santa Barbara",0,31,31,0
14,Gail-Joon Ahn,Arizona State University,Computer Security,Arizona State University,George Mason University,0,31,31,0
15,Georgios E. Fainekos,Arizona State University,Robotics,National Technical University of Athens,University of Pennsylvania,0,62,62,0
16,Guoliang Xue,Arizona State University,Machine Learning & Data Mining,Qufu Normal University,University of Minnesota,0,25,25,0
17,Hasan Davulcu,Arizona State University,Machine Learning & Data Mining,Middle East Technical University,Stony Brook University,0,25,25,0
18,Heni Ben Amor,Arizona State University,Artificial Intelligence,University of Koblenz and Landau,Freiberg University of Mining and Technology,0,2,2,0
19,Huan Liu,Arizona State University,Machine Learning & Data Mining,Shanghai Jiao Tong University,University of Southern California,0,25,25,0
20,James S. Collofello,Arizona State University,Software Engineering,Northern Illinois University,Northwestern University,0,12,12,0
21,Jia Zou,Arizona State University,Databases,Northwestern Polytechnical University,Tsinghua University,0,0,0,0
22,Jingrui He,Arizona State University,Machine Learning & Data Mining,Tsinghua University,Carnegie Mellon University,0,25,25,0
23,John Femiani,Arizona State University,Software Engineering,Arizona State University,Arizona State University,0,12,12,0
24,Joohyung Lee,Arizona State University,Artificial Intelligence,Seoul National University,University of Texas at Austin,0,2,2,0
25,K. Selçuk Candan,Arizona State University,Databases,Bilkent University,University of Maryland,0,0,0,0
26,Kevin Gary,Arizona State University,Software Engineering,State University of New York at Albany,Arizona State University,0,12,12,0
27,Kurt VanLehn,Arizona State University,Artificial Intelligence,Stanford University,Massachusetts Institute of Technology,0,2,2,0
28,Mary Anderson-Rowland,Arizona State University,Theory,Hope College,University of Iowa,0,2,2,0
29,Ming Zhao,Arizona State University,High-Performance Computing,Tsinghua University,University of Florida,0,7,7,0
30,Mohamed Sarwat,Arizona State University,Databases,Cairo University,University of Minnesota,0,0,0,0
31,Partha Dasgupta,Arizona State University,Computer Security,Indian Institute of Technology Kharagpur,Stony Brook University,0,31,31,0
32,Pitu Mirchandani,Arizona State University,Embedded & Real-Time Systems,"University of California, Los Angeles",Massachusetts Institute of Technology,0,14,14,0
33,Rida A. Bazzi,Arizona State University,Computer Security,American University of Beirut,Georgia Institute of Technology,0,31,31,0
34,Robert Atkinson,Arizona State University,Human-Computer Interaction,"California State University, Chico",University of Wisconsin-Madison,0,21,21,0
35,Ross Maciejewski,Arizona State University,Visualization,University of Missouri,Purdue University,0,0,0,0
36,Sandeep K. S. Gupta,Arizona State University,Mobile Computing,"University of California, Berkeley",Ohio State University,0,0,0,0
37,Sarma Vrudhula,Arizona State University,Comp. Bio & Bioinformatics,University of Waterloo,University of Southern California,0,2,2,0
38,Siddharth Srivastava,Arizona State University,Artificial Intelligence,Indian Institute of Technology Kanpur,University of Massachusetts Amherst,0,2,2,0
39,Sik-Sang Yau,Arizona State University,Software Engineering,Beijing University of Posts and Telecommunications,University of Illinois at Urbana-Champaign,0,12,12,0
40,Srividya Bansal,Arizona State University,Software Engineering,"National Institute of Technology, Warangal",University of Texas at Dallas,0,12,12,0
41,Subbarao Kambhampati,Arizona State University,Artificial Intelligence,Indian Institute of Technology Madras,University of Maryland,0,2,2,0
42,Tiffany Bao,Arizona State University,Computer Security,Peking University,Carnegie Mellon University,0,31,31,0
43,Tim Lindquist,Arizona State University,Software Engineering,Purdue University,Iowa State University,0,12,12,0
44,Violet R. Syrotiuk,Arizona State University,Computer Networks,University of Alberta,University of Waterloo,0,34,34,0
45,W. T. Tsai,Arizona State University,High-Performance Computing,Massachusetts Institute of Technology,"University of California, Berkeley",0,7,7,0
46,Yalin Wang,Arizona State University,Computer Vision,Tsinghua University,University of Washington,0,5,5,0
47,Yan Shoshitaishvili,Arizona State University,Computer Security,Rensselaer Polytechnic Institute,"University of California, Santa Barbara",0,31,31,0
48,Yann-Hang Lee,Arizona State University,Embedded & Real-Time Systems,National Cheng Kung University,University of Michigan,0,14,14,0
49,Yezhou Yang,Arizona State University,Computer Graphics,Zhejiang University,University of Maryland,0,14,14,0
50,Gagan Agrawal,Augusta University,Machine Learning & Data Mining,Indian Institute of Technology Kanpur,University of Maryland,0,25,25,0
51,Tony Hosking,Australian National University,Programming Languages,University of Adelaide,University of Massachusetts Amherst,0,7,7,0
52,Anand Seetharam,Binghamton University,Computer Networks,University of Madras,University of Massachusetts Amherst,0,34,34,0
53,Aravind Prakash,Binghamton University,Computer Security,B.M.S. College of Engineering,Syracuse University,0,31,31,0
54,Arti Ramesh,Binghamton University,Machine Learning & Data Mining,Pondicherry University,University of Maryland,0,25,25,0
55,Dmitry Ponomarev,Binghamton University,Computer Architecture,Moscow State Institute of Electronics and Mathematics,Binghamton University,0,2,2,0
56,Guanhua Yan,Binghamton University,,,,0,0,0,3
57,Hui Lu,Binghamton University,Computer Networks,Shanghai Jiao Tong University,Purdue University,0,34,34,0
58,Jeremy Blackburn,Binghamton University,Databases,University of South Florida,University of South Florida,0,0,0,0
59,Kanad Ghose,Binghamton University,Computer Architecture,University of Calcutta,Iowa State University,0,2,2,0
60,Kartik Gopalan,Binghamton University,Computer Security,Delhi Institute of Technology & Management,Stony Brook University,0,31,31,0
61,Kenneth Chiu,Binghamton University,High-Performance Computing,Princeton University,Indiana University Bloomington,0,7,7,0
62,Kyoung-Don Kang,Binghamton University,Embedded & Real-Time Systems,Kyungpook National University,University of Virginia,0,14,14,0
63,Lei Yu,Binghamton University,Machine Learning & Data Mining,Dalian University of Technology,Arizona State University,0,25,25,0
64,Lijun Yin,Binghamton University,Computer Vision,Shanghai Jiao Tong University,University of Alberta,0,5,5,0
65,Madhusudhan Govindaraju,Binghamton University,,,,0,0,0,3
66,Michael J. Lewis,Binghamton University,High-Performance Computing,Duke University,University of Virginia,0,7,7,0
67,Mo Sha,Binghamton University,Computer Networks,Beihang University,Washington University in St. Louis,0,34,34,0
68,Patrick H. Madden,Binghamton University,Algorithms & Complexity,New Mexico Institute of Mining and Technology,"University of California, Los Angeles",0,32,32,0
69,Ping Yang,Binghamton University,Machine Learning & Data Mining,Sun Yat-sen University,Stony Brook University,0,25,25,0
70,Seunghee Shin,Binghamton University,Computer Architecture,Myongji University,North Carolina State University,0,2,2,0
71,Shiqi Zhang,Binghamton University,Artificial Intelligence,Texas Tech University,Harbin Institute of Technology,0,2,2,0
72,Weiyi Meng,Binghamton University,The Web & Information Retrieval,Sichuan University,University of Illinois at Urbana-Champaign,0,0,0,0
73,Weiying Dai,Binghamton University,Comp. Bio & Bioinformatics,Peking University,University of Pittsburgh,0,2,2,0
74,Yao Liu,Binghamton University,Mobile Computing,Nanjing University,George Mason University,0,0,0,0
75,Yifan Zhang,Binghamton University,Mobile Computing,Beihang University,College of William & Mary,0,0,0,0
76,Yu David Liu,Binghamton University,Programming Languages,,Johns Hopkins University,0,7,7,1
77,Zhongfei (Mark) Zhang,Binghamton University,Machine Learning & Data Mining,Zhejiang University,University of Massachusetts Amherst,0,25,25,0
78,Luca Trevisan,Bocconi University,Algorithms & Complexity,,Sapienza University of Rome,0,32,32,1
79,A. J. Kfoury,Boston University,Programming Languages,Massachusetts Institute of Technology,Harvard University,0,7,7,0
80,Abraham Matta,Boston University,Computer Networks,Alexandria University,University of Maryland,0,34,34,0
81,Adam D. Smith,Boston University,Machine Learning & Data Mining,McGill University,Massachusetts Institute of Technology,0,25,25,0
82,Alina Ene,Boston University,Algorithms & Complexity,Princeton University,University of Illinois at Urbana-Champaign,0,32,32,0
83,Azer Bestavros,Boston University,Computer Networks,Alexandria University,Harvard University,0,34,34,0
84,Babis Tsourakakis,Boston University,Computer Graphics,National Technical University of Athens,Carnegie Mellon University,0,14,14,0
85,Brian Kulis,Boston University,Machine Learning & Data Mining,Cornell University,University of Texas at Austin,0,25,25,0
86,David Starobinski,Boston University,Computer Security,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,0,31,31,0
87,Derry Tanti Wijaya,Boston University,Natural Language Processing,National University of Singapore,Carnegie Mellon University,0,0,0,0
88,Emily Whiting,Boston University,Computer Graphics,University of Toronto,Massachusetts Institute of Technology,0,14,14,0
89,Evimaria Terzi,Boston University,Algorithms & Complexity,Aristotle University of Thessaloniki,University of Helsinki,0,32,32,0
90,Francesco Orabona,Boston University,Machine Learning & Data Mining,University of Naples Federico II,University of Genoa,0,25,25,0
91,George Kollios,Boston University,Databases,National Technical University of Athens,New York University,0,0,0,0
92,Gianluca Stringhini,Boston University,Computer Security,University of Genoa,"University of California, Santa Barbara",0,31,31,0
93,Hongwei Xi,Boston University,Programming Languages,Nanjing University,Carnegie Mellon University,0,7,7,0
94,Ibrahim Matta,Boston University,Computer Networks,Alexandria University,University of Maryland,0,34,34,0
95,John W. Byers,Boston University,Computer Networks,Cornell University,"University of California, Berkeley",0,34,34,0
96,Jonathan Appavoo,Boston University,High-Performance Computing,McMaster University,University of Toronto,0,7,7,0
97,Kate Saenko,Boston University,Machine Learning & Data Mining,Brown University,Harvard University,0,25,25,0
98,Leonid A. Levin,Boston University,Economics & Computation,Moscow State University,Moscow State University,0,0,0,0
99,Leonid Reyzin,Boston University,Cryptography,Harvard University,Massachusetts Institute of Technology,0,26,26,0
100,Manos Athanassoulis,Boston University,Databases,National and Kapodistrian University of Athens,École polytechnique fédérale de Lausanne,0,0,0,0
101,Manuel Egele,Boston University,Computer Security,TU Wien,TU Wien,0,31,31,0
102,Marco Gaboardi,Boston University,Programming Languages,University of Milan-Bicocca,University of Turin,0,7,7,0
103,Margrit Betke,Boston University,Artificial Intelligence,University of Bonn,Massachusetts Institute of Technology,0,2,2,0
104,Mark Bun,Boston University,Cryptography,University of Washington,Harvard University,0,26,26,0
105,Mark Crovella,Boston University,Computer Networks,Cornell University,University of Rochester,0,34,34,0
106,Michel Kinsy,Boston University,Computer Architecture,Arizona State University,Massachusetts Institute of Technology,0,2,2,0
107,Prakash Ishwar,Boston University,Computer Networks,Indian Institute of Technology Bombay,University of Illinois at Urbana-Champaign,0,34,34,0
108,Péter Gács,Boston University,Algorithms & Complexity,Eötvös Loránd University,Frankfurt University of Applied Sciences,0,32,32,0
109,Ran Canetti,Boston University,Computer Security,Technion - Israel Institute of Technology,Weizmann Institute of Science,0,31,31,0
110,Renato Mancuso,Boston University,Operating Systems,Tor Vergata University of Rome,University of Illinois at Urbana-Champaign,0,0,0,0
111,Richard West,Boston University,Operating Systems,Newcastle University,Georgia Institute of Technology,0,0,0,0
112,Sharon Goldberg,Boston University,Computer Security,University of Toronto,Princeton University,0,31,31,0
113,Sofya Raskhodnikova,Boston University,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,32,32,0
114,Stan Sclaroff,Boston University,Artificial Intelligence,Tufts University,Massachusetts Institute of Technology,0,2,2,0
115,Steve Homer,Boston University,Algorithms & Complexity,"University of California, Berkeley",Massachusetts Institute of Technology,0,32,32,0
116,Vasiliki Kalavri,Boston University,Databases,National Technical University of Athens,Royal Institute of Technology,0,0,0,0
117,Venkatesh Saligrama,Boston University,Machine Learning & Data Mining,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,25,25,0
118,Wayne Snyder,Boston University,Theory,Dickinson College,University of Pennsylvania,0,2,2,0
119,Antonella DiLillo,Brandeis University,Computer Vision,,Brandeis University,0,5,5,1
120,Harry G. Mairson,Brandeis University,Algorithms & Complexity,Yale University,Stanford University,0,32,32,0
121,James A. Storer,Brandeis University,Algorithms & Complexity,Cornell University,Princeton University,0,32,32,0
122,James Pustejovsky,Brandeis University,Natural Language Processing,Massachusetts Institute of Technology,University of Massachusetts,0,0,0,0
123,Jordan Pollack,Brandeis University,Artificial Intelligence,Binghamton University,University of Illinois at Chicago,0,2,2,0
124,Liuba Shrira,Brandeis University,Operating Systems,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,0,0,0,0
125,Lotus Goldberg,Brandeis University,Programming Languages,"University of California, Santa Cruz",McGill University,0,7,7,0
126,Mitch Cherniack,Brandeis University,Databases,McGill University,Brown University,0,0,0,0
127,Nianwen Xue,Brandeis University,Natural Language Processing,Nankai University,University of Delaware,0,0,0,0
128,Olga Papaemmanouil,Brandeis University,Databases,University of Patras,Brown University,0,0,0,0
129,Pengyu Hong,Brandeis University,Machine Learning & Data Mining,Tsinghua University,University of Illinois at Urbana-Champaign,0,25,25,0
130,Richard Alterman,Brandeis University,Human-Computer Interaction,"University of California, Berkeley",University of Texas at Austin,0,21,21,0
131,Sophia A. Malamud,Brandeis University,Natural Language Processing,University of Pennsylvania,University of Pennsylvania,0,0,0,0
132,Timothy J. Hickey,Brandeis University,Simulation,Brandeis University,University of Chicago,0,0,0,0
133,Amy Greenwald,Brown University,Artificial Intelligence,University of Pennsylvania,New York University,0,2,2,0
134,Andries van Dam,Brown University,Computer Graphics,Swarthmore College,University of Pennsylvania,0,14,14,0
135,Anna Lysyanskaya,Brown University,Cryptography,Smith College,Massachusetts Institute of Technology,0,26,26,0
136,Daniel Ritchie,Brown University,Artificial Intelligence,"University of California, Berkeley",Stanford University,0,2,2,0
137,David H. Laidlaw,Brown University,Computer Graphics,Brown University,California Institute of Technology,0,14,14,0
138,Eli Upfal,Brown University,Algorithms & Complexity,Hebrew University of Jerusalem,Hebrew University of Jerusalem,0,32,32,0
139,Ellie Pavlick,Brown University,Natural Language Processing,Johns Hopkins University,University of Pennsylvania,0,0,0,0
140,Eugene Charniak,Brown University,Natural Language Processing,University of Chicago,Massachusetts Institute of Technology,0,0,0,0
141,Filippo Menczer,Brown University,Computer Graphics,Aristotle University of Thessaloniki,Brandeis University,0,14,14,0
142,Franco P. Preparata,Brown University,Comp. Bio & Bioinformatics,Sapienza University of Rome,Sapienza University of Rome,0,2,2,0
143,Gabriel Taubin,Brown University,Computer Graphics,University of Buenos Aires,,0,14,14,1
144,George Dimitri Konidaris,Brown University,Artificial Intelligence,University of the Witwatersrand,University of Massachusetts Amherst,0,2,2,0
145,Iris Bahar,Brown University,Computer Architecture,University of Illinois at Urbana-Champaign,University of Colorado Boulder,0,2,2,0
146,James Tompkin,Brown University,Computer Vision,King's College London,University College London,0,5,5,0
147,Jeff Huang,Brown University,Human-Computer Interaction,University of Illinois at Urbana-Champaign,University of Washington,0,21,21,0
148,John E. Savage,Brown University,Theory,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,2,2,0
149,John F. Hughes,Brown University,Computer Graphics,Princeton University,"University of California, Berkeley",0,14,14,0
150,Kathi Fisler,Brown University,Computer Education,Williams College,Indiana University Bloomington,0,4,4,0
151,Malte Schwarzkopf,Brown University,Operating Systems,University of Cambridge,University of Cambridge,0,0,0,0
152,Maurice Herlihy,Brown University,High-Performance Computing,Harvard University,Massachusetts Institute of Technology,0,7,7,0
153,Michael L. Littman,Brown University,Machine Learning & Data Mining,Yale University,Brown University,0,25,25,0
154,Paul Valiant,Brown University,Algorithms & Complexity,Stanford University,Massachusetts Institute of Technology,0,32,32,0
155,Pedro F. Felzenszwalb,Brown University,Artificial Intelligence,Cornell University,Massachusetts Institute of Technology,0,2,2,0
156,Philip N. Klein,Brown University,Algorithms & Complexity,Harvard University,Massachusetts Institute of Technology,0,32,32,0
157,Roberto Tamassia,Brown University,Computer Security,Sapienza University of Rome,University of Illinois at Urbana-Champaign,0,31,31,0
158,Rodrigo C. Fonseca,Brown University,Operating Systems,Federal University of Minas Gerais,"University of California, Berkeley",0,0,0,0
159,Seny Kamara,Brown University,Computer Security,Purdue University,Johns Hopkins University,0,31,31,0
160,Shriram Krishnamurthi,Brown University,Programming Languages,Ohio Wesleyan University,Rice University,0,7,7,0
161,Sorin Istrail,Brown University,Comp. Bio & Bioinformatics,Alexandru Ioan Cuza University,University of Bucharest,0,2,2,0
162,Stan Zdonik,Brown University,Databases,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,0,0,0
163,Stefanie Tellex,Brown University,Robotics,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,62,62,0
164,Stephen Bach,Brown University,Machine Learning & Data Mining,Georgetown University,University of Maryland,0,25,25,0
165,Steven P. Reiss,Brown University,Software Engineering,Dartmouth College,Yale University,0,12,12,0
166,Theophilus A. Benson,Brown University,Computer Networks,Tufts University,University of Wisconsin-Madison,0,34,34,0
167,Thomas W. Doeppner Jr.,Brown University,Operating Systems,Cornell University,Princeton University,0,0,0,0
168,Ugur Çetintemel,Brown University,Databases,Bilkent University,University of Maryland,0,0,0,0
169,Vasileios P. Kemerlis,Brown University,Computer Security,National and Kapodistrian University of Athens,Columbia University,0,31,31,0
170,Adam Wierman,California Institute of Technology,Operating Systems,Carnegie Mellon University,Carnegie Mellon University,0,0,0,0
171,Alain J. Martin,California Institute of Technology,Computer Architecture,Aix-Marseille University,Grenoble Institute of Technology,0,2,2,0
172,Alan H. Barr,California Institute of Technology,Computer Graphics,Rensselaer Polytechnic Institute,Indian Institute of Technology Kanpur,0,14,14,0
173,Anima Anandkumar,California Institute of Technology,Artificial Intelligence,Indian Institute of Technology Madras,Cornell University,0,2,2,0
174,Chris Umans,California Institute of Technology,Theory,Williams College,"University of California, Berkeley",0,2,2,0
175,Erik Winfree,California Institute of Technology,Comp. Bio & Bioinformatics,University of Chicago,California Institute of Technology,0,2,2,0
176,Erin Brady,California Institute of Technology,Computer Architecture,Bar-Ilan University,Royal Institute of Technology,0,2,2,0
177,Fernando G. S. L. Brandão,California Institute of Technology,High-Performance Computing,Federal University of Minas Gerais,Imperial College London,0,7,7,0
178,Funda Ergün,California Institute of Technology,Computer Architecture,Bar-Ilan University,California Institute of Technology,0,2,2,0
179,Joel A. Tropp,California Institute of Technology,Interdisciplinary Areas,University of Texas at Austin,University of Texas at Austin,0,11,11,0
180,Leonard J. Schulman,California Institute of Technology,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,32,32,0
181,Lior Pachter,California Institute of Technology,Comp. Bio & Bioinformatics,California Institute of Technology,Massachusetts Institute of Technology,0,2,2,0
182,Mathieu Desbrun,California Institute of Technology,Economics & Computation,École nationale supérieure d'informatique et de mathématiques appliquées de Grenoble,Grenoble Institute of Technology,0,0,0,0
183,Peter Schröder,California Institute of Technology,Algorithms & Complexity,Technical University of Berlin,Princeton University,0,32,32,0
184,Pietro Perona,California Institute of Technology,Machine Learning & Data Mining,University of Padua,"University of California, Berkeley",0,25,25,0
185,Steven H. Low,California Institute of Technology,Computer Networks,Cornell University,"University of California, Berkeley",0,34,34,0
186,Thomas Vidick,California Institute of Technology,Theory,École normale supérieure,"University of California, Berkeley",0,2,2,0
187,Tracey Ho,California Institute of Technology,Computer Networks,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,34,34,0
188,Venkat Chandrasekaran,California Institute of Technology,Algorithms & Complexity,Rice University,Massachusetts Institute of Technology,0,32,32,0
189,Yaser S. Abu-Mostafa,California Institute of Technology,Machine Learning & Data Mining,Cairo University,California Institute of Technology,0,25,25,0
190,Yisong Yue,California Institute of Technology,Machine Learning & Data Mining,University of Illinois at Urbana-Champaign,Cornell University,0,25,25,0
191,Abdelfattah Amamra,"California State Polytechnic University, Pomona",,Cornell University,,0,0,0,2
192,Aarti Singh,Carnegie Mellon University,Machine Learning & Data Mining,University of Delhi,University of Wisconsin-Madison,0,25,25,0
193,Abhinav Gupta,Carnegie Mellon University,Algorithms & Complexity,Indian Institute of Technology Kanpur,"University of California, Berkeley",0,32,32,0
194,Alan M. Frieze,Carnegie Mellon University,Theory,University of Oxford,University College London,0,2,2,0
195,Alan W. Black,Carnegie Mellon University,Natural Language Processing,Coventry University,University of Edinburgh,0,0,0,0
196,Alessandro Acquisti,Carnegie Mellon University,Economics & Computation,Sapienza University of Rome,"University of California, Berkeley",0,0,0,0
197,Alexander Hauptmann,Carnegie Mellon University,Interdisciplinary Areas,Johns Hopkins University,Carnegie Mellon University,0,11,11,0
198,Alexander J. Smola,Carnegie Mellon University,Machine Learning & Data Mining,Technical University of Munich,Technical University of Berlin,0,25,25,0
199,Alexander Waibel,Carnegie Mellon University,Machine Learning & Data Mining,Massachusetts Institute of Technology,Carnegie Mellon University,0,25,25,0
200,Alonzo Kelly,Carnegie Mellon University,Robotics,University of Toronto,Carnegie Mellon University,0,62,62,0
201,Ameet S. Talwalkar,Carnegie Mellon University,Machine Learning & Data Mining,Yale University,New York University,0,25,25,0
202,Amy E. Ogan,Carnegie Mellon University,Human-Computer Interaction,Carnegie Mellon University,Carnegie Mellon University,0,21,21,0
203,Ananda Gunawardena,Carnegie Mellon University,Scientific Computing,Ananda College,University of Colombo,0,7,7,0
204,Andreas R. Pfenning,Carnegie Mellon University,Comp. Bio & Bioinformatics,,,0,2,2,2
205,Andrej Risteski,Carnegie Mellon University,Machine Learning & Data Mining,Princeton University,Princeton University,0,25,25,0
206,Andrew Moore,Carnegie Mellon University,Machine Learning & Data Mining,University of Cambridge,University of Cambridge,0,25,25,0
207,Andrew Pavlo,Carnegie Mellon University,Databases,Rochester Institute of Technology,Brown University,0,0,0,0
208,André Platzer,Carnegie Mellon University,Programming Languages,Karlsruhe Institute of Technology,University of Oldenburg,0,7,7,0
209,Aniket Kittur,Carnegie Mellon University,Human-Computer Interaction,Princeton University,"University of California, Los Angeles",0,21,21,0
210,Ann Lee,Carnegie Mellon University,Machine Learning & Data Mining,Chalmers University of Technology,Brown University,0,25,25,0
211,Anupam Datta,Carnegie Mellon University,Computer Security,Indian Institute of Technology Kharagpur,Stanford University,0,31,31,0
212,Barnabás Póczos,Carnegie Mellon University,Machine Learning & Data Mining,Eötvös Loránd University,Eötvös Loránd University,0,25,25,0
213,Benjamin Moseley,Carnegie Mellon University,Machine Learning & Data Mining,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,0,25,25,0
214,Bernhard Haeupler,Carnegie Mellon University,Computer Networks,Technical University of Munich,Massachusetts Institute of Technology,0,34,34,0
215,Bhiksha Raj,Carnegie Mellon University,Natural Language Processing,,Carnegie Mellon University,0,0,0,1
216,Bill Scherlis,Carnegie Mellon University,Software Engineering,Harvard University,Stanford University,0,12,12,0
217,Bogdan Vasilescu,Carnegie Mellon University,Machine Learning & Data Mining,Oil & Gas University of Ploiești,Eindhoven University of Technology,0,25,25,0
218,Brad A. Myers,Carnegie Mellon University,Human-Computer Interaction,Massachusetts Institute of Technology,University of Toronto,0,21,21,0
219,Bradley Schmerl,Carnegie Mellon University,Software Engineering,University of Adelaide,Flinders University,0,12,12,0
220,Bruce H. Krogh,Carnegie Mellon University,Computer Architecture,Wheaton College,University of Illinois at Urbana-Champaign,0,2,2,0
221,Bruno Sinopoli,Carnegie Mellon University,Computer Architecture,University of Padua,"University of California, Berkeley",0,2,2,0
222,Bryan Parno,Carnegie Mellon University,Cryptography,Harvard University,Carnegie Mellon University,0,26,26,0
223,Carl Kingsford,Carnegie Mellon University,Computer Vision,Duke University,Princeton University,0,5,5,0
224,Carolyn Penstein Rosé,Carnegie Mellon University,Computer Graphics,"University of California, Irvine",Carnegie Mellon University,0,14,14,0
225,Changliu Liu,Carnegie Mellon University,Robotics,Tsinghua University,"University of California, Berkeley",0,62,62,0
226,Chinmay Eishan Kulkarni,Carnegie Mellon University,Human-Computer Interaction,Birla Institute of Technology and Science,Stanford University,0,21,21,0
227,Chris Harrison,Carnegie Mellon University,Human-Computer Interaction,New York University,Carnegie Mellon University,0,21,21,0
228,Christian Kästner,Carnegie Mellon University,Software Engineering,University of Magdeburg,University of Magdeburg,0,12,12,0
229,Christopher Dyer,Carnegie Mellon University,Natural Language Processing,Duke University,University of Maryland,0,0,0,0
230,Christopher G. Atkeson,Carnegie Mellon University,Human-Computer Interaction,Harvard University,Massachusetts Institute of Technology,0,21,21,0
231,Christopher James Langmead,Carnegie Mellon University,Comp. Bio & Bioinformatics,Oberlin College,Dartmouth College,0,2,2,0
232,Christos Faloutsos,Carnegie Mellon University,Databases,National Technical University of Athens,University of Toronto,0,0,0,0
233,Claire Le Goues,Carnegie Mellon University,Software Engineering,Harvard University,University of Virginia,0,12,12,0
234,Dana S. Scott,Carnegie Mellon University,Logic & Verification,"University of California, Berkeley",Princeton University,0,0,0,0
235,Daniel Dominic Kaplan Sleator,Carnegie Mellon University,Algorithms & Complexity,University of Illinois at Urbana-Champaign,Stanford University,0,32,32,0
236,Daniel P. Siewiorek,Carnegie Mellon University,Human-Computer Interaction,University of Michigan,Stanford University,0,21,21,0
237,Dave Andersen,Carnegie Mellon University,Computer Networks,University of Utah,Massachusetts Institute of Technology,0,34,34,0
238,David Brumley,Carnegie Mellon University,Computer Security,University of Northern Colorado,Carnegie Mellon University,0,31,31,0
239,David Garlan,Carnegie Mellon University,Computer Architecture,Amherst College,Carnegie Mellon University,0,2,2,0
240,David Held,Carnegie Mellon University,Machine Learning & Data Mining,Massachusetts Institute of Technology,Stanford University,0,25,25,0
241,David P. Woodruff,Carnegie Mellon University,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,32,32,0
242,David R. O'Hallaron,Carnegie Mellon University,Databases,Virginia Tech,University of Virginia,0,0,0,0
243,David Touretzky,Carnegie Mellon University,Computer Education,Rutgers University,Carnegie Mellon University,0,4,4,0
244,Deepak Pathak,Carnegie Mellon University,Artificial Intelligence,Indian Institute of Technology Kanpur,"University of California, Berkeley",0,2,2,0
245,Deva Ramanan,Carnegie Mellon University,Computer Vision,Ohio State University,"University of California, Berkeley",0,5,5,0
246,Diana Marculescu,Carnegie Mellon University,Machine Learning & Data Mining,Politehnica University of Bucharest,University of Southern California,0,25,25,0
247,Doug Sicker,Carnegie Mellon University,Computer Networks,University of Pittsburgh,University of Pittsburgh,0,34,34,0
248,Douglas C. Sicker,Carnegie Mellon University,Computer Networks,University of Pittsburgh,University of Pittsburgh,0,34,34,0
249,Edmund M. Clarke,Carnegie Mellon University,Algorithms & Complexity,University of Virginia,Cornell University,0,32,32,0
250,Emma Strubell,Carnegie Mellon University,Natural Language Processing,University of Maine,University of Massachusetts Amherst,0,0,0,0
251,Eric Nyberg,Carnegie Mellon University,Artificial Intelligence,Boston University,Carnegie Mellon University,0,2,2,0
252,Eric P. Xing,Carnegie Mellon University,Machine Learning & Data Mining,Tsinghua University,Rutgers University,0,25,25,0
253,Farnam Jahanian,Carnegie Mellon University,Computer Networks,University of Texas at Austin,University of Texas at Austin,0,34,34,0
