"UniqueId","FullName","University","JoinYear","Rank","SubField","Bachelors","Masters","Doctorate","PostDoc","Gender","PhotoURL","Sources","Last_Updated_By","Last_Updated"
"533","David Perreault","Massachusetts Institute of Technology","2001","Associate","Hardware & Architecture","Boston University - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","Male","","http://www.rle.mit.edu/people/directory/david-perreault/","2729","2016-08-28"
"534","Devavrat Shah","Massachusetts Institute of Technology","2005","Associate","Networks & Communications","Indian Institute of Technology - Bombay - India","","Stanford University - USA","","","","http://web.mit.edu/devavrat/www/bio.html","2","2016-07-24"
"535","Dina Katabi","Massachusetts Institute of Technology","2003","Full","Networks & Communications","Damascus University - Syria","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","","","people.csail.mit.edu/dina/","2","2016-07-24"
"536","Elfar Adalsteinsson","Massachusetts Institute of Technology","2004","Associate","Hardware & Architecture","University of Iceland - Iceland","Stanford University - USA","Stanford University - USA","","","","http://www.rle.mit.edu/people/directory/elfar-adalsteinsson/","2","2016-07-24"
"537","Frederick Hennie III","Massachusetts Institute of Technology","","Full","Multimedia","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","","","http://www.scholars.northwestern.edu/printpage_cv_ctrl.asp?n=Thrasyvoulos+N+Pappas&u_id=1800&oe_id=1&o_id=118","2","2016-07-24"
"538","Fredo Durand","Massachusetts Institute of Technology","2002","Full","Computer Vision","","","University of Grenoble - France","Massachusetts Institute of Technology - USA","Male","http://people.csail.mit.edu/fredo/","http://people.csail.mit.edu/fredo/","2","2015-10-08"
"539","George Verghese","Massachusetts Institute of Technology","1977","Full","Networks & Communications","Indian Institute of Technology - Madras - India","North Carolina State University - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","","http://en.wikipedia.org/wiki/George_Varghese","2","2016-07-24"
"540","Gerald Sussman","Massachusetts Institute of Technology","","Full","Programming Languages","Massachusetts Institute of Technology - USA","","Massachusetts Institute of Technology - USA","","","","http://groups.csail.mit.edu/mac/users/gjs/biography.html","2","2016-07-24"
"541","Gregory W. Wornell","Massachusetts Institute of Technology","1991","Full","Algorithms & Theory","University of British Columbia - Canada","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","","","http://www.rle.mit.edu/people/directory/gregory-wornell/","2","2016-07-24"
"542","Hal Abelson","Massachusetts Institute of Technology","","Full","Artificial Intelligence","Princeton University - USA","Princeton University - USA","Massachusetts Institute of Technology - USA","","Male","http://groups.csail.mit.edu/mac/users/hal/hal-joi.jpg","http://www.csail.mit.edu/user/1535","2","2015-10-08"
"543","Hari Balakrishnan","Massachusetts Institute of Technology","1998","Full","Networks & Communications","Indian Institute of Technology - Madras - India","Indian Institute of Technology - Madras - India","University of California - Berkeley - USA","","Male","http://nms.lcs.mit.edu/~hari/pics/hb09.jpg","http://nms.csail.mit.edu/~hari/","8327","2017-09-30"
"544","Jacob K. White","Massachusetts Institute of Technology","1983","Full","Hardware & Architecture","Massachusetts Institute of Technology - USA","University of California - Berkeley - USA","University of California - Berkeley - USA","","","","http://www.rle.mit.edu/people/directory/jacob-white/","2","2016-07-24"
"545","Jae Lim","Massachusetts Institute of Technology","1978","Full","Natural Language & Speech","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","","","http://www.rle.mit.edu/people/directory/jae-lim/","2","2016-07-24"
"546","Joel Moses","Massachusetts Institute of Technology","1978","Full","Artificial Intelligence","","","Massachusetts Institute of Technology - USA","","","","http://esd.mit.edu/Faculty_Pages/moses/Moses-vita-7-9-2013.4.pdf","2","2016-07-24"
"547","John Guttag","Massachusetts Institute of Technology","1979","Full","Networks & Communications","Brown University - USA","Brown University - USA","University of Toronto - Canada","","Male","http://www.csail.mit.edu/user/798","http://people.csail.mit.edu/guttag/","2","2015-10-08"
"548","John Tsitsiklis","Massachusetts Institute of Technology","1980","Full","Operating Systems","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","","https://lids.mit.edu/people/faculty/tsitsiklis-john.html","2","2016-07-24"
"549","Konstantinos Daskalakis","Massachusetts Institute of Technology","2009","Associate","Algorithms & Theory","National Technical University of Athens - Greece","","University of California - Berkeley - USA","","Male","http://people.csail.mit.edu/costis/hilton.JPG","http://www.csail.mit.edu/user/1825","2989","2016-08-28"
